Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency,Original_Id,Original_Code,Original_Name,Original_Vocab,Mapping_Applied,Mapping_Relationship
37396365,716152007,Measurement of segmental blood pressure of artery of lower limb using Doppler ultrasonography,Procedure,Measurement,SNOMED,Valid,Standard,2627,37396365,716152007,Measurement of segmental blood pressure of artery of lower limb using Doppler ultrasonography,SNOMED,No,
2107230,33530,"Reoperation, coronary artery bypass procedure or valve procedure, more than 1 month after original operation (List separately in addition to code for primary procedure)",Undefined,Procedure,CPT4,Invalid,Non-standard,2626,2107230,33530,"Reoperation, coronary artery bypass procedure or valve procedure, more than 1 month after original operation (List separately in addition to code for primary procedure)",CPT4,No,
4242102,,Evaluation and management of new outpatient in office or other outpatient facility,Undefined,Observation,SNOMED,Invalid,Non-standard,2624,2414390,99201,"Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A problem focused history; A problem focused examination; Straightforward medical decision making. Counseling and/o... (Dep...",CPT4,Yes,CPT4 - SNOMED eq
37109864,723780005,Digital tomosynthesis of bilateral breasts,Procedure,Procedure,SNOMED,Valid,Standard,2616,37109864,723780005,Digital tomosynthesis of bilateral breasts,SNOMED,No,
42628062,73521,"Radiologic examination, hips, bilateral, with pelvis when performed; 2 views",Undefined,Procedure,CPT4,Invalid,Non-standard,2614,42628062,73521,"Radiologic examination, hips, bilateral, with pelvis when performed; 2 views",CPT4,No,
4142645,,Angiography of coronary artery,Undefined,Procedure,SNOMED,Invalid,Non-standard,2607,40756911,93455,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with catheter placement(s) in bypass graft(s) (internal mammary, free arter...",CPT4,Yes,CPT4 - SNOMED eq
4004516,110466009,Pre-surgery evaluation,Procedure,Procedure,SNOMED,Valid,Standard,2604,4004516,110466009,Pre-surgery evaluation,SNOMED,No,
2106590,31630,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with tracheal/bronchial dilation or closed reduction of fracture",Undefined,Procedure,CPT4,Invalid,Non-standard,2597,2106590,31630,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with tracheal/bronchial dilation or closed reduction of fracture",CPT4,No,
46257455,76641,"Ultrasound, breast, unilateral, real time with image documentation, including axilla when performed; complete",Undefined,Procedure,CPT4,Invalid,Non-standard,2596,46257455,76641,"Ultrasound, breast, unilateral, real time with image documentation, including axilla when performed; complete",CPT4,No,
4242893,59820001,Blood vessel structure,Procedure,Procedure,SNOMED,Valid,Standard,2595,2002222,39.50,Angioplasty of other non-coronary vessel(s),ICD9Proc,Yes,Has dir proc site
40485353,442837002,Excision debridement - action,Procedure,Procedure,SNOMED,Valid,Standard,2590,2006533,86.22,"Excisional debridement of wound, infection, or burn",ICD9Proc,Yes,Has method
2102641,17313,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine st...",Undefined,Procedure,CPT4,Invalid,Non-standard,2589,2102641,17313,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine st...",CPT4,No,
4063759,,Evacuation of intracranial extradural hematoma,Undefined,Procedure,SNOMED,Invalid,Non-standard,2583,2110419,61312,"Craniectomy or craniotomy for evacuation of hematoma, supratentorial; extradural or subdural",CPT4,Yes,CPT4 - SNOMED eq
2313939,93651,"Intracardiac catheter ablation of arrhythmogenic focus; for treatment of supraventricular tachycardia by ablation of fast or slow atrioventricular pathways, accessory atrioventricular connections or other atrial foci, singly or in combination (Dep...",Undefined,Procedure,CPT4,Invalid,Non-standard,2582,2313939,93651,"Intracardiac catheter ablation of arrhythmogenic focus; for treatment of supraventricular tachycardia by ablation of fast or slow atrioventricular pathways, accessory atrioventricular connections or other atrial foci, singly or in combination (Dep...",CPT4,No,
4040722,118955007,Implantation to cardiovascular system,Procedure,Procedure,SNOMED,Valid,Standard,2581,2734104,05HM33Z,"Insertion of Infusion Device into Right Internal Jugular Vein, Percutaneous Approach",ICD10PCS,Yes,Is a
2313659,92250,Fundus photography with interpretation and report,Undefined,Procedure,CPT4,Invalid,Non-standard,2580,2313659,92250,Fundus photography with interpretation and report,CPT4,No,
4124388,,Upper gastrointestinal tract contrast procedure,Undefined,Procedure,SNOMED,Invalid,Non-standard,2574,2211526,74246,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; double-contrast (eg, high-density barium and effervescent agent) study, including glucagon, when administered",CPT4,Yes,CPT4 - SNOMED eq
2314135,95920,"Intraoperative neurophysiology testing, per hour (List separately in addition to code for primary procedure) (Deprecated)",Undefined,Procedure,CPT4,Invalid,Non-standard,2571,2314135,95920,"Intraoperative neurophysiology testing, per hour (List separately in addition to code for primary procedure) (Deprecated)",CPT4,No,
2109746,51797,"Voiding pressure studies, intra-abdominal (ie, rectal, gastric, intraperitoneal) (List separately in addition to code for primary procedure)",Undefined,Procedure,CPT4,Invalid,Non-standard,2569,2109746,51797,"Voiding pressure studies, intra-abdominal (ie, rectal, gastric, intraperitoneal) (List separately in addition to code for primary procedure)",CPT4,No,
710052,97130,"Therapeutic interventions that focus on cognitive function (eg, attention, memory, reasoning, executive function, problem solving, and/or pragmatic functioning) and compensatory strategies to manage the performance of an activity (eg, managing tim...",Undefined,Procedure,CPT4,Invalid,Non-standard,2564,710052,97130,"Therapeutic interventions that focus on cognitive function (eg, attention, memory, reasoning, executive function, problem solving, and/or pragmatic functioning) and compensatory strategies to manage the performance of an activity (eg, managing tim...",CPT4,No,
4290594,37270008,Endoscope,Procedure,Procedure,SNOMED,Valid,Standard,2559,2746803,0DB98ZX,"Excision of Duodenum, Via Natural or Artificial Opening Endoscopic, Diagnostic",ICD10PCS,Yes,Using acc device
4044378,129236007,Open approach,Procedure,Procedure,SNOMED,Valid,Standard,2558,2722695,00B70ZZ,"Excision of Cerebral Hemisphere, Open Approach",ICD10PCS,Yes,Access of
40486717,449364006,Injection of electrolyte,Procedure,Procedure,SNOMED,Valid,Standard,2554,40486717,449364006,Injection of electrolyte,SNOMED,No,
4028813,,Computed tomography without intravenous contrast followed by intravenous contrast and more sections,Undefined,Procedure,SNOMED,Invalid,Non-standard,2554,2211380,71270,"Computed tomography, thorax, diagnostic; without contrast material, followed by contrast material(s) and further sections",CPT4,Yes,CPT4 - SNOMED eq
2213577,90947,"Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies) requiring repeated evaluations by a physician or other qualified health care professional, with or without substa...",Undefined,Procedure,CPT4,Invalid,Non-standard,2553,2213577,90947,"Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies) requiring repeated evaluations by a physician or other qualified health care professional, with or without substa...",CPT4,No,
2108021,35840,"Exploration for postoperative hemorrhage, thrombosis or infection; abdomen",Undefined,Procedure,CPT4,Invalid,Non-standard,2552,2108021,35840,"Exploration for postoperative hemorrhage, thrombosis or infection; abdomen",CPT4,No,
2514422,99253,"Inpatient or observation consultation for a new or established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selecti...",Undefined,Observation,CPT4,Invalid,Non-standard,2551,2514422,99253,"Inpatient or observation consultation for a new or established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selecti...",CPT4,No,
4120039,,Fluoroscopy with contrast injection,Undefined,Procedure,SNOMED,Invalid,Non-standard,2550,2109480,49452,"Replacement of gastro-jejunostomy tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report",CPT4,Yes,CPT4 - SNOMED eq
4098799,,Intraoperative neurophysiological monitoring,Undefined,Observation,SNOMED,Invalid,Non-standard,2542,43528024,95940,"Continuous intraoperative neurophysiology monitoring in the operating room, one on one monitoring requiring personal attendance, each 15 minutes (List separately in addition to code for primary procedure)",CPT4,Yes,CPT4 - SNOMED eq
2100850,00562,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, age 1 year or older, for all noncoronary bypass procedures (eg, valve procedures) or for re-operation for coronary bypass more than 1 month afte...",Undefined,Procedure,CPT4,Invalid,Non-standard,2539,2100850,00562,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, age 1 year or older, for all noncoronary bypass procedures (eg, valve procedures) or for re-operation for coronary bypass more than 1 month afte...",CPT4,No,
2514417,99243,"Office or other outpatient consultation for a new or established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selec...",Undefined,Observation,CPT4,Invalid,Non-standard,2538,2514417,99243,"Office or other outpatient consultation for a new or established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selec...",CPT4,No,
4030658,107940005,Small intestine endoscopy,Procedure,Procedure,SNOMED,Valid,Standard,2537,4030658,107940005,Small intestine endoscopy,SNOMED,No,
4238738,,Physical therapy procedure,Undefined,Procedure,SNOMED,Invalid,Non-standard,2536,2314263,97002,PHYSICAL THERAPY RE-EVALUATION (Deprecated),CPT4,Yes,CPT4 - SNOMED eq
4195136,79733001,Amputation above-knee,Procedure,Procedure,SNOMED,Valid,Standard,2527,4195136,79733001,Amputation above-knee,SNOMED,No,
4040580,,Making of shielding block for radiotherapy,Undefined,Procedure,SNOMED,Invalid,Non-standard,2525,2211849,77332,"Treatment devices, design and construction; simple (simple block, simple bolus)",CPT4,Yes,CPT4 - SNOMED eq
4024220,,Medical equipment assessment,Undefined,Procedure,SNOMED,Invalid,Non-standard,2518,2314299,97542,"Wheelchair management (eg, assessment, fitting, training), each 15 minutes",CPT4,Yes,CPT4 - SNOMED eq
46257687,77061,Diagnostic digital breast tomosynthesis; unilateral,Undefined,Procedure,CPT4,Invalid,Non-standard,2515,46257687,77061,Diagnostic digital breast tomosynthesis; unilateral,CPT4,No,
37207211,4131000087103,Plain X-ray of bilateral tibia and bilateral fibula,Procedure,Procedure,SNOMED,Valid,Standard,2515,37207211,4131000087103,Plain X-ray of bilateral tibia and bilateral fibula,SNOMED,No,
42534921,1081000087100,Ultrasonography of right inguinal region,Procedure,Procedure,SNOMED,Valid,Standard,2504,42534921,1081000087100,Ultrasonography of right inguinal region,SNOMED,No,
2108466,38505,"Biopsy or excision of lymph node(s); by needle, superficial (eg, cervical, inguinal, axillary)",Undefined,Procedure,CPT4,Invalid,Non-standard,2501,2108466,38505,"Biopsy or excision of lymph node(s); by needle, superficial (eg, cervical, inguinal, axillary)",CPT4,No,
4171200,49281003,Diagnostic procedure on lower respiratory tract,Procedure,Procedure,SNOMED,Valid,Standard,2500,2743359,0B9F8ZX,"Drainage of Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic",ICD10PCS,Yes,Is a
2106306,30901,"Control nasal hemorrhage, anterior, simple (limited cautery and/or packing) any method",Undefined,Procedure,CPT4,Invalid,Non-standard,2499,2106306,30901,"Control nasal hemorrhage, anterior, simple (limited cautery and/or packing) any method",CPT4,No,
4038398,,Radiologic supervision and interpretation of procedure,Undefined,Procedure,SNOMED,Invalid,Non-standard,2495,2211539,74305,"Radiological supervision and interpretation X-ray of bile and/or pancreatic ducts, contrast inserted through existing catheter (Deprecated)",CPT4,Yes,CPT4 - SNOMED eq
2514560,99465,"Delivery/birthing room resuscitation, provision of positive pressure ventilation and/or chest compressions in the presence of acute inadequate ventilation and/or cardiac output",Undefined,Procedure,CPT4,Invalid,Non-standard,2489,2514560,99465,"Delivery/birthing room resuscitation, provision of positive pressure ventilation and/or chest compressions in the presence of acute inadequate ventilation and/or cardiac output",CPT4,No,
4244369,38216008,Infusion chemotherapy for malignant neoplasm,Procedure,Procedure,SNOMED,Valid,Standard,2488,4244369,38216008,Infusion chemotherapy for malignant neoplasm,SNOMED,No,
4045049,129284003,Surgical action,Procedure,Procedure,SNOMED,Valid,Standard,2488,2726290,02HP32Z,"Insertion of Monitoring Device into Pulmonary Trunk, Percutaneous Approach",ICD10PCS,Yes,Has method
2108059,36012,"Selective catheter placement, venous system; second order, or more selective, branch (eg, left adrenal vein, petrosal sinus)",Undefined,Procedure,CPT4,Invalid,Non-standard,2476,2108059,36012,"Selective catheter placement, venous system; second order, or more selective, branch (eg, left adrenal vein, petrosal sinus)",CPT4,No,
4042529,22943007,Trunk structure,Procedure,Procedure,SNOMED,Valid,Standard,2471,2788815,8E0W4CZ,"Robotic Assisted Procedure of Trunk Region, Percutaneous Endoscopic Approach",ICD10PCS,Yes,Has proc site
2102238,13160,"Secondary closure of surgical wound or dehiscence, extensive or complicated",Undefined,Procedure,CPT4,Invalid,Non-standard,2467,2102238,13160,"Secondary closure of surgical wound or dehiscence, extensive or complicated",CPT4,No,
2313801,92980,"Transcatheter placement of an intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; single vessel (Deprecated)",Undefined,Procedure,CPT4,Invalid,Non-standard,2462,2313801,92980,"Transcatheter placement of an intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; single vessel (Deprecated)",CPT4,No,
4290594,37270008,Endoscope,Procedure,Procedure,SNOMED,Valid,Standard,2460,2001292,31.42,Laryngoscopy and other tracheoscopy,ICD9Proc,Yes,Using device
4345928,241157000,Upper gastrointestinal tract series,Procedure,Procedure,SNOMED,Valid,Standard,2460,4345928,241157000,Upper gastrointestinal tract series,SNOMED,No,
42538970,951000087106,Ultrasonography of left breast,Procedure,Procedure,SNOMED,Valid,Standard,2459,42538970,951000087106,Ultrasonography of left breast,SNOMED,No,
4237762,,Diagnostic radiography of toes,Undefined,Procedure,SNOMED,Invalid,Non-standard,2459,2211493,73660,"Radiologic examination; toe(s), minimum of 2 views",CPT4,Yes,CPT4 - SNOMED eq
37204340,782971002,Bronchoalveolar lavage,Procedure,Procedure,SNOMED,Valid,Non-standard,2456,37204340,782971002,Bronchoalveolar lavage,SNOMED,No,
2212485,83903,"Molecular diagnostics; mutation scanning, by physical properties (eg, single strand conformational polymorphisms (SSCP), heteroduplex, denaturing gradient gel electrophoresis (DGGE), RNA'ase A), single segment, each (Deprecated)",Undefined,Procedure,CPT4,Invalid,Non-standard,2456,2212485,83903,"Molecular diagnostics; mutation scanning, by physical properties (eg, single strand conformational polymorphisms (SSCP), heteroduplex, denaturing gradient gel electrophoresis (DGGE), RNA'ase A), single segment, each (Deprecated)",CPT4,No,
4038398,,Radiologic supervision and interpretation of procedure,Undefined,Procedure,SNOMED,Invalid,Non-standard,2455,2211597,75716,"Angiography, extremity, bilateral, radiological supervision and interpretation",CPT4,Yes,CPT4 - SNOMED eq
40486941,,Evoked potential study,Undefined,Procedure,SNOMED,Invalid,Non-standard,2450,42742396,95939,Central motor evoked potential study (transcranial motor stimulation); in upper and lower limbs,CPT4,Yes,CPT4 - SNOMED eq
40756843,22551,"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below C2",Undefined,Procedure,CPT4,Invalid,Non-standard,2447,40756843,22551,"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below C2",CPT4,No,
4071096,,Primary repair of inguinal hernia,Undefined,Procedure,SNOMED,Invalid,Non-standard,2436,2109489,49505,"Repair initial inguinal hernia, age 5 years or older; reducible",CPT4,Yes,CPT4 - SNOMED eq
4246976,40834003,Complex surgical repair of wounds of trunk,Undefined,Procedure,SNOMED,Invalid,Non-standard,2431,2102216,13101,"Repair, complex, trunk; 2.6 cm to 7.5 cm",CPT4,Yes,Maps to
4186565,,Small bowel series,Undefined,Procedure,SNOMED,Invalid,Non-standard,2425,2211529,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",CPT4,Yes,CPT4 - SNOMED eq
2109108,44389,"Colonoscopy through stoma; with biopsy, single or multiple",Undefined,Procedure,CPT4,Invalid,Non-standard,2424,2109108,44389,"Colonoscopy through stoma; with biopsy, single or multiple",CPT4,No,
4064652,,Drainage of abscess of brain tissue,Undefined,Procedure,SNOMED,Invalid,Non-standard,2421,2110424,61320,"Craniectomy or craniotomy, drainage of intracranial abscess; supratentorial",CPT4,Yes,CPT4 - SNOMED eq
4045049,129284003,Surgical action,Procedure,Procedure,SNOMED,Valid,Standard,2418,2756517,0JH606Z,"Insertion of Pacemaker, Dual Chamber into Chest Subcutaneous Tissue and Fascia, Open Approach",ICD10PCS,Yes,Has method
4046502,,Therapeutic mechanical traction,Undefined,Procedure,SNOMED,Invalid,Non-standard,2418,2314269,97012,"Application of a modality to 1 or more areas; traction, mechanical",CPT4,Yes,CPT4 - SNOMED eq
4001379,,Gallbladder injection,Undefined,Procedure,SNOMED,Invalid,Non-standard,2418,2109350,47505,"Injection procedure for cholangiography through an existing catheter (eg, percutaneous transhepatic or T-tube) (Deprecated)",CPT4,Yes,CPT4 - SNOMED eq
40483836,445515006,Plain X-ray of cerebrospinal fluid shunt,Procedure,Procedure,SNOMED,Valid,Standard,2409,40483836,445515006,Plain X-ray of cerebrospinal fluid shunt,SNOMED,No,
4299735,386811000,Fetal procedure,Procedure,Procedure,SNOMED,Valid,Standard,2405,2004811,75.34,Other fetal monitoring,ICD9Proc,Yes,Subsumes
2314105,95822,Electroencephalogram (EEG); recording in coma or sleep only,Undefined,Procedure,CPT4,Invalid,Non-standard,2400,2314105,95822,Electroencephalogram (EEG); recording in coma or sleep only,CPT4,No,
4044378,129236007,Open approach,Procedure,Procedure,SNOMED,Valid,Standard,2392,2723350,00HV02Z,"Insertion of Monitoring Device into Spinal Cord, Open Approach",ICD10PCS,Yes,Has access
4123904,,Balloon dilation of stricture - large intestine,Undefined,Procedure,SNOMED,Invalid,Non-standard,2384,2109202,45386,"Colonoscopy, flexible; with transendoscopic balloon dilation",CPT4,Yes,CPT4 - SNOMED eq
42538971,961000087109,Ultrasonography of right breast,Procedure,Procedure,SNOMED,Valid,Standard,2382,42538971,961000087109,Ultrasonography of right breast,SNOMED,No,
4044177,129266000,Measurement - action,Procedure,Procedure,SNOMED,Valid,Standard,2377,2787807,4B02XTZ,"Measurement of Cardiac Defibrillator, External Approach",ICD10PCS,Yes,Has method
4200837,,Injection of anesthetic agent into sciatic nerve,Undefined,Procedure,SNOMED,Invalid,Non-standard,2377,2110761,64445,"Injection(s), anesthetic agent(s) and/or steroid; sciatic nerve, including imaging guidance, when performed",CPT4,Yes,CPT4 - SNOMED eq
2109113,44394,"Colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique",Undefined,Procedure,CPT4,Invalid,Non-standard,2376,2109113,44394,"Colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique",CPT4,No,
43527885,0296T,External electrocardiographic recording for more than 48 hours up to 21 days by continuous rhythm recording and storage; recording (includes connection and initial recording) (Deprecated),Undefined,Procedure,CPT4,Invalid,Non-standard,2375,43527885,0296T,External electrocardiographic recording for more than 48 hours up to 21 days by continuous rhythm recording and storage; recording (includes connection and initial recording) (Deprecated),CPT4,No,
4013298,103388001,Percutaneous approach,Procedure,Procedure,SNOMED,Valid,Standard,2374,2786222,3E03305,"Introduction of Other Antineoplastic into Peripheral Vein, Percutaneous Approach",ICD10PCS,Yes,Has access
2314132,95900,"Nerve conduction, amplitude and latency/velocity study, each nerve; motor, without F-wave study (Deprecated)",Undefined,Procedure,CPT4,Invalid,Non-standard,2371,2314132,95900,"Nerve conduction, amplitude and latency/velocity study, each nerve; motor, without F-wave study (Deprecated)",CPT4,No,
4098809,,Optical axis deviation test,Undefined,Procedure,SNOMED,Invalid,Non-standard,2363,2313642,92060,"Sensorimotor examination with multiple measurements of ocular deviation (eg, restrictive or paretic muscle with diplopia) with interpretation and report (separate procedure)",CPT4,Yes,CPT4 - SNOMED eq
4068275,,Fiberoptic endoscopic laser destruction of lesion of colon,Undefined,Procedure,SNOMED,Invalid,Non-standard,2362,2109199,45383,"Colonoscopy, flexible, proximal to splenic flexure; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique (Deprecated)",CPT4,Yes,CPT4 - SNOMED eq
42627979,36902,"Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anas...",Undefined,Procedure,CPT4,Invalid,Non-standard,2352,42627979,36902,"Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anas...",CPT4,No,
2108907,43262,Endoscopic retrograde cholangiopancreatography (ERCP); with sphincterotomy/papillotomy,Undefined,Procedure,CPT4,Invalid,Non-standard,2345,2108907,43262,Endoscopic retrograde cholangiopancreatography (ERCP); with sphincterotomy/papillotomy,CPT4,No,
2514549,99442,"Telephone evaluation and management service by a physician or other qualified health care professional who may report evaluation and management services provided to an established patient, parent, or guardian not originating from a related... (Dep...",Undefined,Observation,CPT4,Invalid,Non-standard,2342,2514549,99442,"Telephone evaluation and management service by a physician or other qualified health care professional who may report evaluation and management services provided to an established patient, parent, or guardian not originating from a related... (Dep...",CPT4,No,
37109312,394531000119101,MRI of abdomen without contrast,Procedure,Procedure,SNOMED,Valid,Standard,2336,37109312,394531000119101,MRI of abdomen without contrast,SNOMED,No,
4034270,113276009,Intestinal structure,Procedure,Procedure,SNOMED,Valid,Standard,2335,2007914,96.07,Insertion of other (naso-)gastric tube,ICD9Proc,Yes,Has indir proc site
4117745,,Therapeutic colonoscopy,Undefined,Procedure,SNOMED,Invalid,Non-standard,2334,2109195,45379,"Colonoscopy, flexible; with removal of foreign body(s)",CPT4,Yes,CPT4 - SNOMED eq
4048694,,Electronic analysis of internal pacemaker system,Undefined,Procedure,SNOMED,Invalid,Non-standard,2332,2313846,93279,"Programming device evaluation (in person) with iterative adjustment of the implantable device to test the function of the device and select optimal permanent programmed values with analysis, review and report by a physician or other qualified heal...",CPT4,Yes,CPT4 - SNOMED eq
44816431,64642,Chemodenervation of one extremity; 1-4 muscle(s),Undefined,Procedure,CPT4,Invalid,Non-standard,2323,44816431,64642,Chemodenervation of one extremity; 1-4 muscle(s),CPT4,No,
44792015,308101000000104,Primary immunisation - first dose,Procedure,Procedure,SNOMED,Valid,Standard,2318,44792015,308101000000104,Primary immunisation - first dose,SNOMED,No,
4327670,,Electrophysiologic evaluation of cardioverter-defibrillator lead and/or device,Undefined,Procedure,SNOMED,Invalid,Non-standard,2312,2313936,93641,"Electrophysiologic evaluation of single or dual chamber pacing cardioverter-defibrillator leads including defibrillation threshold evaluation (induction of arrhythmia, evaluation of sensing and pacing for arrhythmia termination) at time of initial...",CPT4,Yes,CPT4 - SNOMED eq
4118954,,Plain X-ray of lumbar and sacral spine,Undefined,Procedure,SNOMED,Invalid,Non-standard,2309,2211400,72120,"Radiologic examination, spine, lumbosacral; bending views only, 2 or 3 views",CPT4,Yes,CPT4 - SNOMED eq
4261206,44749005,Subsequent stage of staged operation,Procedure,Procedure,SNOMED,Valid,Standard,2308,4261206,44749005,Subsequent stage of staged operation,SNOMED,No,
4038398,,Radiologic supervision and interpretation of procedure,Undefined,Procedure,SNOMED,Invalid,Non-standard,2304,2211655,75970,"Transcatheter biopsy, radiological supervision and interpretation",CPT4,Yes,CPT4 - SNOMED eq
2101886,10140,"Incision and drainage of hematoma, seroma or fluid collection",Undefined,Procedure,CPT4,Invalid,Non-standard,2299,2101886,10140,"Incision and drainage of hematoma, seroma or fluid collection",CPT4,No,
4232320,89666000,Cardiopulmonary resuscitation,Procedure,Procedure,SNOMED,Valid,Standard,2297,4232320,89666000,Cardiopulmonary resuscitation,SNOMED,No,
4044379,129237003,Closed approach,Procedure,Procedure,SNOMED,Valid,Standard,2297,2787788,4A1HXCZ,"Monitoring of Products of Conception, Cardiac Rate, External Approach",ICD10PCS,Yes,Has access
4138836,3258003,Angiography of cerebral arteries,Procedure,Procedure,SNOMED,Valid,Standard,2295,4138836,3258003,Angiography of cerebral arteries,SNOMED,No,
4098039,,Cardiac electrophysiology,Undefined,Procedure,SNOMED,Invalid,Non-standard,2290,43528006,93654,"Comprehensive electrophysiologic evaluation with insertion and repositioning of multiple electrode catheters, induction or attempted induction of an arrhythmia with right atrial pacing and recording and catheter ablation of arrhythmogenic focus, i...",CPT4,Yes,CPT4 - SNOMED eq
4037672,,Ultrasonography,Undefined,Procedure,SNOMED,Invalid,Non-standard,2288,2109204,45391,"Colonoscopy, flexible; with endoscopic ultrasound examination limited to the rectum, sigmoid, descending, transverse, or ascending colon and cecum, and adjacent structures",CPT4,Yes,CPT4 - SNOMED eq
4242700,37859006,Pulmonary ventilation perfusion study,Procedure,Measurement,SNOMED,Valid,Standard,2288,4242700,37859006,Pulmonary ventilation perfusion study,SNOMED,No,
40757025,93453,"Combined right and left heart catheterization including intraprocedural injection(s) for left ventriculography, imaging supervision and interpretation, when performed",Undefined,Procedure,CPT4,Invalid,Non-standard,2285,40757025,93453,"Combined right and left heart catheterization including intraprocedural injection(s) for left ventriculography, imaging supervision and interpretation, when performed",CPT4,No,
4013298,103388001,Percutaneous approach,Procedure,Procedure,SNOMED,Valid,Standard,2284,2786488,3E1M39Z,"Irrigation of Peritoneal Cavity using Dialysate, Percutaneous Approach",ICD10PCS,Yes,Has access
36713187,384151000119104,Screening mammography of bilateral breasts,Undefined,Procedure,SNOMED,Invalid,Non-standard,2283,2211814,77057,"Bilateral screening mammography, craniocaudal and mediolateral oblique views of each breast (Deprecated)",CPT4,Yes,Maps to
4078727,,Continuous infusion of therapeutic substance,Undefined,Procedure,SNOMED,Invalid,Non-standard,2283,2110764,64448,"Injection(s), anesthetic agent(s) and/or steroid; femoral nerve, continuous infusion by catheter (including catheter placement), including imaging guidance, when performed",CPT4,Yes,CPT4 - SNOMED eq
4161582,,Endoscopic insertion of temporary colonic stent,Undefined,Procedure,SNOMED,Invalid,Non-standard,2275,2109203,45387,"Colonoscopy, flexible, proximal to splenic flexure; with transendoscopic stent placement (includes predilation) (Deprecated)",CPT4,Yes,CPT4 - SNOMED eq
4055259,,Inhaled drug administration,Undefined,Procedure,SNOMED,Invalid,Non-standard,2272,2314029,94645,Continuous inhalation treatment with aerosol medication for acute airway obstruction; each additional hour (List separately in addition to code for primary procedure),CPT4,Yes,CPT4 - SNOMED eq
2109111,44392,"Colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps",Undefined,Procedure,CPT4,Invalid,Non-standard,2271,2109111,44392,"Colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps",CPT4,No,
2107224,33519,"Coronary artery bypass, using venous graft(s) and arterial graft(s); 3 venous grafts (List separately in addition to code for primary procedure)",Undefined,Procedure,CPT4,Invalid,Non-standard,2268,2107224,33519,"Coronary artery bypass, using venous graft(s) and arterial graft(s); 3 venous grafts (List separately in addition to code for primary procedure)",CPT4,No,
2514563,99468,"Initial inpatient neonatal critical care, per day, for the evaluation and management of a critically ill neonate, 28 days of age or younger",Undefined,Observation,CPT4,Invalid,Non-standard,2266,2514563,99468,"Initial inpatient neonatal critical care, per day, for the evaluation and management of a critically ill neonate, 28 days of age or younger",CPT4,No,
40757050,37226,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed",Undefined,Procedure,CPT4,Invalid,Non-standard,2263,40757050,37226,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed",CPT4,No,
